ID,Name,Grade,Recitations,"Total Score"
101,"Alex Brown",3,4,9
103,"Ethan Williams",3,6,15
105,"Liam Johnson",3,8,23
106,"Mia Anderson",3,4,11
104,"Olivia Taylor",3,7,16
102,"Sophia Martinez",3,5,17
111,"Ava Harris",4,4,12
112,"Elijah Martin",4,5,10
109,"Emma Jackson",4,7,18
110,"Lucas White",4,8,17
107,"Maria Garcia",4,5,10
108,"Noah Thomas",4,6,15
118,"Amelia Young",5,6,17
115,"Benjamin Lewis",5,8,18
116,"Charlotte Robinson",5,4,10
114,"Isabella Clark",5,7,16
113,"James Smith",5,6,13
1779345742437,Seen,5,0,0
117,"William Walker",5,5,17
124,"Alexander Baker",6,7,20
121,"Evelyn Wright",6,4,13
123,"Harper Green",6,6,18
122,"Henry Scott",6,5,12
119,"Linda Johnson",6,7,18
120,"Oliver King",6,8,25
